QueryId	SubjectId	%KMatchIdentity	QueryKLength	KMatch	GapOpen	QStart	QEnd	SStart	SEnd
A0A259KLQ1_9BURK	A0A259KLQ1_9BURK	100.00	147	147	N/A	1	153	1	N/A
A0A259KLQ1_9BURK	A0A315ECW0_9BURK	42.86	147	63	N/A	1	153	1	N/A
A0A259KLQ1_9BURK	A0A315ERZ9_9BURK	36.05	147	53	N/A	1	153	1	N/A
A0A259KLQ1_9BURK	A0A315ET99_9BURK	23.13	147	34	N/A	1	153	1	N/A
A0A259KLQ1_9BURK	A0A2S7JIF1_9BURK	23.13	147	34	N/A	1	153	1	N/A
A0A259KLQ1_9BURK	A0A315BU81_9BURK	22.45	147	33	N/A	1	153	1	N/A
A0A259KLQ1_9BURK	H0BSF8_9BURK	19.73	147	29	N/A	1	153	1	N/A
A0A259KLQ1_9BURK	A0A1M3JKL8_9BURK	19.73	147	29	N/A	1	153	1	N/A
A0A259KLQ1_9BURK	A0A1B3E7H5_9PSED	15.65	147	23	N/A	1	153	1	N/A
A0A259KLQ1_9BURK	A0A2U1C989_9BURK	14.97	147	22	N/A	1	153	1	N/A
A0A176V5L8_9PSED	A0A176V5L8_9PSED	100.00	124	124	N/A	1	130	1	N/A
A0A176V5L8_9PSED	A0A387BWQ7_PSEFL	94.35	124	117	N/A	1	130	1	N/A
A0A176V5L8_9PSED	A0A379J9Z3_PSEFL	84.68	124	105	N/A	1	130	1	N/A
A0A176V5L8_9PSED	W2D4E8_9PSED	75.81	124	94	N/A	1	130	1	N/A
A0A176V5L8_9PSED	A0A4R6Z1H7_9PSED	70.97	124	88	N/A	1	130	1	N/A
A0A176V5L8_9PSED	A0A2G0YZQ9_9PSED	69.35	124	86	N/A	1	130	1	N/A
A0A176V5L8_9PSED	A0A1V2JQU1_9PSED	69.35	124	86	N/A	1	130	1	N/A
A0A176V5L8_9PSED	A0A379IFS8_PSEFL	65.32	124	81	N/A	1	130	1	N/A
A0A176V5L8_9PSED	A0A1S1UXS9_9PSED	61.29	124	76	N/A	1	130	1	N/A
A0A176V5L8_9PSED	A0A2N7Z2Z4_9PSED	58.87	124	73	N/A	1	130	1	N/A
D3HS04_LEGLN	D3HS04_LEGLN	100.00	106	106	N/A	1	112	1	N/A
D3HS04_LEGLN	A0A448APV4_9GAMM	100.00	106	106	N/A	1	112	1	N/A
D3HS04_LEGLN	A0A0W0YA65_9GAMM	78.30	106	83	N/A	1	112	1	N/A
D3HS04_LEGLN	A0A0W0YU59_9GAMM	71.70	106	76	N/A	1	112	1	N/A
D3HS04_LEGLN	A0A3S4HVE6_9GAMM	71.70	106	76	N/A	1	112	1	N/A
D3HS04_LEGLN	A0A378IJY3_9GAMM	69.81	106	74	N/A	1	112	1	N/A
D3HS04_LEGLN	A0A378J9L4_9GAMM	66.98	106	71	N/A	1	112	1	N/A
D3HS04_LEGLN	A0A2H5FLV0_9GAMM	65.09	106	69	N/A	1	112	1	N/A
