QueryId	SubjectId	%KMatchIdentity	QueryKLength	KMatch	GapOpen	QStart	QEnd	SStart	SEnd
A0A238HHL6_9NEIS	F5S4B6_9NEIS	100.00	49	49	N/A	1	55	1	N/A
A0A238HHL6_9NEIS	A0A238HHL6_9NEIS	100.00	49	49	N/A	1	55	1	N/A
PYC1_SYNY4	A0A068N1B9_SYNY4	100.00	61	61	N/A	1	67	1	N/A
PYC1_SYNY4	L8AHX0_BACIU	100.00	61	61	N/A	1	67	1	N/A
PYC1_SYNY4	PYC1_SYNY4	100.00	61	61	N/A	1	67	1	N/A
PYC1_SYNY4	PYC1_SYNY3	88.52	61	54	N/A	1	67	1	N/A
PYC1_SYNY4	U5DF10_9CHRO	77.05	61	47	N/A	1	67	1	N/A
PYC1_SYNY4	A0A218QHE3_9CYAN	77.05	61	47	N/A	1	67	1	N/A
PYC1_SYNY4	A0A0C1XUS3_9CYAN	77.05	61	47	N/A	1	67	1	N/A
PYC1_SYNY4	D5A424_ARTPN	75.41	61	46	N/A	1	67	1	N/A
PYC1_SYNY4	A0YY94_LYNSP	75.41	61	46	N/A	1	67	1	N/A
PYC1_SYNY4	A0A1U7HUV2_9CHRO	75.41	61	46	N/A	1	67	1	N/A
A0A2N5Q212_RUMGN	F7JXA2_9FIRM	100.00	80	80	N/A	1	86	1	N/A
A0A2N5Q212_RUMGN	A0A1C5XZQ2_9FIRM	100.00	80	80	N/A	1	86	1	N/A
A0A2N5Q212_RUMGN	A0A2N5Q212_RUMGN	100.00	80	80	N/A	1	86	1	N/A
A0A2N5Q212_RUMGN	A0A354PYT8_9FIRM	100.00	80	80	N/A	1	86	1	N/A
A0A2N5Q212_RUMGN	R5TXV0_9FIRM	100.00	80	80	N/A	1	86	1	N/A
A0A2N5Q212_RUMGN	A7B4T9_RUMGV	100.00	80	80	N/A	1	86	1	N/A
A0A2N5Q212_RUMGN	A0A3A6G4Q6_9FIRM	100.00	80	80	N/A	1	86	1	N/A
A0A2N5Q212_RUMGN	A0A414P2R3_RUMGN	91.25	80	73	N/A	1	86	1	N/A
A0A2N5Q212_RUMGN	R6EJP6_9FIRM	67.50	80	54	N/A	1	86	1	N/A
A0A2N5Q212_RUMGN	A0A3E2WMB7_9CLOT	66.25	80	53	N/A	1	86	1	N/A
LSPA_ORITB	LSPA_ORITB	100.00	163	163	N/A	1	169	1	N/A
LSPA_ORITB	A0A0F3NYI3_ORITS	77.91	163	127	N/A	1	169	1	N/A
LSPA_ORITB	A0A2U3QZW8_ORITS	77.91	163	127	N/A	1	169	1	N/A
LSPA_ORITB	LSPA_ORITI	77.91	163	127	N/A	1	169	1	N/A
LSPA_ORITB	A0A2R8F0I1_ORITS	77.91	163	127	N/A	1	169	1	N/A
LSPA_ORITB	A0A0F3PIN1_ORITS	76.69	163	125	N/A	1	169	1	N/A
LSPA_ORITB	A0A2U3R894_ORITS	76.69	163	125	N/A	1	169	1	N/A
LSPA_ORITB	A0A2U3R030_ORITS	74.85	163	122	N/A	1	169	1	N/A
LSPA_ORITB	A0A2U3R1S7_ORITS	74.85	163	122	N/A	1	169	1	N/A
LSPA_ORITB	A0A0F3PTT8_ORITS	74.85	163	122	N/A	1	169	1	N/A
A0A1B8J6J2_9HELI	A0A1B8J6J2_9HELI	100.00	195	195	N/A	1	201	1	N/A
A0A1B8J6J2_9HELI	A0A1B8J626_9HELI	7.18	195	14	N/A	1	201	1	N/A
A0A243TCY2_CITFR	A0A243TCY2_CITFR	100.00	177	177	N/A	1	183	1	N/A
A0A243TCY2_CITFR	A0A4V6BT41_9ENTR	92.09	177	163	N/A	1	183	1	N/A
A0A243TCY2_CITFR	A0A376HZH2_ECOLX	92.09	177	163	N/A	1	183	1	N/A
A0A243TCY2_CITFR	A0A100VC06_SALER	89.83	177	159	N/A	1	183	1	N/A
A0A243TCY2_CITFR	A0A500P279_SALMU	89.83	177	159	N/A	1	183	1	N/A
A0A243TCY2_CITFR	A0A3T6RVE1_SALET	89.83	177	159	N/A	1	183	1	N/A
A0A243TCY2_CITFR	A0A3V4SQ03_SALET	89.83	177	159	N/A	1	183	1	N/A
A0A243TCY2_CITFR	A0A3T9S821_SALET	88.14	177	156	N/A	1	183	1	N/A
A0A243TCY2_CITFR	A0A256DTE5_CITFR	88.14	177	156	N/A	1	183	1	N/A
A0A243TCY2_CITFR	A0A2L0TEA5_9ENTR	88.14	177	156	N/A	1	183	1	N/A
RECO_RICRS	H6PUA2_RICP3	100.00	231	231	N/A	1	237	1	N/A
RECO_RICRS	RECO_RICRS	100.00	231	231	N/A	1	237	1	N/A
RECO_RICRS	RECO_RICRO	100.00	231	231	N/A	1	237	1	N/A
RECO_RICRS	Q7P8W2_RICS2	93.94	231	217	N/A	1	237	1	N/A
RECO_RICRS	RECO_RICCN	93.94	231	217	N/A	1	237	1	N/A
