QueryId	SubjectId	%KMatchIdentity	QueryKLength	KMatch	GapOpen	QStart	QEnd	SStart	SEnd
A0A2E4TII7_9RHOB	A0A291LXZ8_9RHOB	100.00	89	89	N/A	1	95	1	N/A
A0A2E4TII7_9RHOB	A0A2E4TII7_9RHOB	100.00	89	89	N/A	1	95	1	N/A
A0A2E4TII7_9RHOB	A0A246QVF1_9RHOB	92.13	89	82	N/A	1	95	1	N/A
A0A2E4TII7_9RHOB	A0A1U7D8D5_9RHOB	47.19	89	42	N/A	1	95	1	N/A
A0A2E4TII7_9RHOB	A0A2D4V057_9RHOB	47.19	89	42	N/A	1	95	1	N/A
A0A2E4TII7_9RHOB	A0A239PTL9_9RHOB	42.70	89	38	N/A	1	95	1	N/A
A0A2E4TII7_9RHOB	A0A2R8AB77_9RHOB	42.70	89	38	N/A	1	95	1	N/A
A0A2E4TII7_9RHOB	A0A1I0JJV8_9RHOB	40.45	89	36	N/A	1	95	1	N/A
A0A2E4TII7_9RHOB	A0A2T4JR18_9RHOB	39.33	89	35	N/A	1	95	1	N/A
A0A2E4TII7_9RHOB	A0A2W7R7I6_9RHOB	39.33	89	35	N/A	1	95	1	N/A
A0A4Y8ZL21_9SPHN	A0A4Y8ZL21_9SPHN	100.00	139	139	N/A	1	145	1	N/A
A0A231WT22_KLEPN	A0A422YSJ7_KLEPN	100.00	104	104	N/A	1	110	1	N/A
A0A231WT22_KLEPN	W1H7Q1_KLEPN	100.00	104	104	N/A	1	110	1	N/A
A0A231WT22_KLEPN	A0A231WT22_KLEPN	100.00	104	104	N/A	1	110	1	N/A
A0A231WT22_KLEPN	A0A485UD24_KLEPN	96.15	104	100	N/A	1	110	1	N/A
A0A231WT22_KLEPN	A0A485HZX6_KLEPN	93.27	104	97	N/A	1	110	1	N/A
A0A231WT22_KLEPN	A0A483G458_KLEPN	93.27	104	97	N/A	1	110	1	N/A
A0A231WT22_KLEPN	A0A367NH17_KLEPN	91.35	104	95	N/A	1	110	1	N/A
A0A231WT22_KLEPN	A0A3P2EHQ1_KLEPN	85.58	104	89	N/A	1	110	1	N/A
A0A231WT22_KLEPN	W1HRV9_KLEPN	77.88	104	81	N/A	1	110	1	N/A
A0A231WT22_KLEPN	A0A2Z3F1Y4_9ENTR	73.08	104	76	N/A	1	110	1	N/A
A0A011TJ25_9RHIZ	A0A031LZE0_9PSED	100.00	70	70	N/A	1	76	1	N/A
A0A011TJ25_9RHIZ	A0A011TJ25_9RHIZ	100.00	70	70	N/A	1	76	1	N/A
A0A011TJ25_9RHIZ	A0A021XGK8_9RHIZ	71.43	70	50	N/A	1	76	1	N/A
A0A011TJ25_9RHIZ	A0A2W5TYU6_RHOSH	68.57	70	48	N/A	1	76	1	N/A
A0A011TJ25_9RHIZ	A0A099F459_9RHOB	67.14	70	47	N/A	1	76	1	N/A
A0A011TJ25_9RHIZ	A0A502BQ39_9RHIZ	65.71	70	46	N/A	1	76	1	N/A
A0A011TJ25_9RHIZ	A0A430EL88_9SPHN	65.71	70	46	N/A	1	76	1	N/A
A0A011TJ25_9RHIZ	A0A2S9IMB7_9RHIZ	65.71	70	46	N/A	1	76	1	N/A
