QueryId	SubjectId	%Identity	AlnLength	Mismatches	GapOpen	QStart	QEnd	SStart	SEnd	Evalue	Bitscore
A0A0N8SN40_PSESS	A0A0P9NGF1_PSESX	100.00	107	0	0	1	107	1	107	6.002878e-53	215.31
A0A0N8SN40_PSESS	A0A0M9HWC7_PSEA0	100.00	107	0	0	1	107	1	107	6.002878e-53	215.31
A0A0N8SN40_PSESS	A0A0N8SL69_PSESX	100.00	107	0	0	1	107	1	107	6.002878e-53	215.31
A0A0N8SN40_PSESS	A0A0Q0ANW4_PSESS	100.00	107	0	0	1	107	1	107	6.002878e-53	215.31
A0A0N8SN40_PSESS	A0A3M3AMK8_PSESS	100.00	107	0	0	1	107	1	107	6.002878e-53	215.31
A0A0N8SN40_PSESS	A0A0N8QXX0_PSEA0	100.00	107	0	0	1	107	1	107	6.002878e-53	215.31
A0A0N8SN40_PSESS	A0A0P9RV78_PSEA0	100.00	107	0	0	1	107	1	107	6.002878e-53	215.31
A0A0N8SN40_PSESS	A0A0W8HBH0_PSESS	100.00	107	0	0	1	107	1	107	6.002878e-53	215.31
A0A0N8SN40_PSESS	A0A0P9YN38_PSEA0	100.00	107	0	0	1	107	1	107	6.002878e-53	215.31
A0A0N8SN40_PSESS	A0A0P9NP33_PSESX	100.00	107	0	0	1	107	1	107	6.002878e-53	215.31
A0A1C7CPP3_ECOLX	A0A1C7CPP3_ECOLX	100.00	83	0	0	1	83	1	83	5.172232e-36	158.69
A0A1C7CPP3_ECOLX	A7ZL63_ECO24	98.80	83	1	0	1	83	1	83	2.566952e-35	156.38
A0A1C7CPP3_ECOLX	A0A2H4TM22_ECOLX	98.80	83	1	0	1	83	1	83	2.566952e-35	156.38
A0A1C7CPP3_ECOLX	A0A4T7NI73_ECOLX	84.34	83	13	0	1	83	1	83	2.748921e-29	136.35
A0A1G9RN73_9ACTO	A0A1G9RN73_9ACTO	100.00	113	0	0	1	113	1	113	8.846025e-55	221.48
A0A1G9RN73_9ACTO	A0A329XJK1_9ACTO	92.92	113	8	0	1	113	3	115	1.195576e-51	211.08
A0A1G9RN73_9ACTO	A0A1M4RZL8_9ACTO	92.92	113	8	0	1	113	3	115	3.478593e-51	209.53
A0A1G9RN73_9ACTO	A0A2S0LQQ6_9ACTO	80.53	113	22	0	1	113	1	113	1.083864e-44	187.96
A0A1G9RN73_9ACTO	A0A2T0UZS2_9MICO	71.68	113	32	0	1	113	3	115	1.853084e-36	160.61
A0A1G9RN73_9ACTO	A0A3D1TZC1_9CHLR	57.52	113	48	0	1	113	1	113	7.058064e-28	132.11
A0A1G9RN73_9ACTO	A0A2H3L3S3_9CHLR	56.36	110	48	0	4	113	3	112	6.606147e-26	125.56
A0A1G9RN73_9ACTO	A0A2W4NHW5_9CHLR	58.18	110	46	0	4	113	3	112	2.510333e-25	123.63
A0A0K5AHH7_ECOLX	V2QP97_ECOLX	100.00	79	0	0	1	79	1	79	1.337547e-41	177.18
A0A0K5AHH7_ECOLX	A0A222QU18_ECOLX	100.00	79	0	0	1	79	1	79	1.337547e-41	177.18
A0A0K5AHH7_ECOLX	A0A332YS70_KLEPN	100.00	79	0	0	1	79	1	79	1.337547e-41	177.18
A0A0K5AHH7_ECOLX	A0A384H0C6_9ENTR	100.00	79	0	0	1	79	63	141	1.337547e-41	177.18
A0A0K5AHH7_ECOLX	A0A070SIY7_ECOLX	100.00	79	0	0	1	79	1	79	1.337547e-41	177.18
A0A0K5AHH7_ECOLX	A0A0K5AHH7_ECOLX	100.00	79	0	0	1	79	1	79	1.337547e-41	177.18
A0A0K5AHH7_ECOLX	F4SI11_ECOLX	100.00	79	0	0	1	79	57	135	1.337547e-41	177.18
A0A0K5AHH7_ECOLX	A0A1C2W5C6_ACIPI	100.00	79	0	0	1	79	1	79	1.337547e-41	177.18
A0A0K5AHH7_ECOLX	Q0QCA9_KLEPN	100.00	79	0	0	1	79	63	141	1.337547e-41	177.18
A0A0K5AHH7_ECOLX	S1IK01_ECOLX	100.00	79	0	0	1	79	1	79	1.337547e-41	177.18
A0A174QAW6_9FIRM	A0A174QAW6_9FIRM	100.00	115	0	0	1	115	1	115	1.027643e-58	234.57
A0A174QAW6_9FIRM	A5ZV19_9FIRM	100.00	115	0	0	1	115	1	115	1.027643e-58	234.57
A0A174QAW6_9FIRM	R7D4B3_9FIRM	100.00	115	0	0	1	115	1	115	1.027643e-58	234.57
A0A174QAW6_9FIRM	A0A1C5QEP1_9FIRM	99.13	115	1	0	1	115	1	115	2.989983e-58	233.03
