QueryId	SubjectId	%Identity	AlnLength	Mismatches	GapOpen	QStart	QEnd	SStart	SEnd	Evalue	Bitscore
A0A107PA77_BURCE	A0A107PA77_BURCE	100.00	60	0	0	1	60	1	60	2.685743e-26	125.95
A0A107PA77_BURCE	U2HJH6_9BURK	96.67	60	2	0	1	60	1	60	2.273618e-25	122.86
A0A107PA77_BURCE	A0A3P0WZT6_BURCE	95.00	60	3	0	1	60	24	83	6.615214e-25	121.32
A0A107PA77_BURCE	A0A3N8IF12_9BURK	68.33	60	19	0	1	60	1	60	8.961487e-14	84.34
A0A495SLP0_9FLAO	A0A495SLP0_9FLAO	100.00	78	0	0	1	78	1	78	4.114788e-35	155.61
A0A1M5EKR3_9BACT	A0A1M5EKR3_9BACT	100.00	108	0	0	1	108	1	108	7.913273e-53	214.93
X5DDR0_9BACT	X5DDR0_9BACT	100.00	98	0	0	1	98	1	98	9.083433e-48	197.98
X5DDR0_9BACT	A0A0D8J8M2_9BACT	94.12	85	5	0	14	98	1	85	1.898409e-37	163.70
X5DDR0_9BACT	A0A3D1KYK0_9BACT	79.75	79	16	0	17	95	5	83	1.780983e-27	130.57
X5DDR0_9BACT	A0A1I2JTM8_9BACT	71.95	82	23	0	14	95	1	82	2.843385e-25	123.25
X5DDR0_9BACT	A0A4R6H5V7_9BACT	75.00	68	17	0	28	95	1	68	8.013036e-20	105.15
X5DDR0_9BACT	A0A0L8V302_9BACT	70.18	57	17	0	39	95	2	58	5.030700e-14	85.89
I2QDX1_9BRAD	I2QDX1_9BRAD	100.00	122	0	0	1	122	1	122	5.586105e-63	248.82
I2QDX1_9BRAD	A0A4E0RBT0_9BRAD	83.74	123	19	1	1	122	1	123	3.179348e-50	206.45
I2QDX1_9BRAD	A0A4Q7FMK5_9BRAD	78.86	123	25	1	1	122	1	123	1.476864e-47	197.59
I2QDX1_9BRAD	A0A1C3X0D5_9BRAD	78.86	123	25	1	1	122	1	123	9.572752e-47	194.90
I2QDX1_9BRAD	A0A1I5L5I6_9BRAD	73.17	123	32	1	1	122	1	123	2.606910e-44	186.81
I2QDX1_9BRAD	A0A4U6RI91_BRAEL	74.80	123	30	1	1	122	1	123	7.584946e-44	185.27
I2QDX1_9BRAD	A0A4Q4K4I6_BRAEL	73.98	123	31	1	1	122	1	123	9.906246e-44	184.88
I2QDX1_9BRAD	A0A2A2VHX9_9BRAD	73.98	123	30	2	1	122	1	122	3.764369e-43	182.96
I2QDX1_9BRAD	A0A4Q0QCL4_9BRAD	73.39	124	30	2	1	122	1	123	2.439993e-42	180.26
I2QDX1_9BRAD	A0A3S0G2R8_9BRAD	72.36	123	33	1	1	122	1	123	7.099293e-42	178.72
A0A4P8QFR8_9CAUL	A0A4P8QFR8_9CAUL	100.00	136	0	0	1	136	1	136	8.377272e-76	291.58
A0A4P8QFR8_9CAUL	A0A1Z3UCX5_BREVE	96.32	136	5	0	1	136	1	136	3.642232e-71	276.17
A0A4P8QFR8_9CAUL	A0A168N6I7_9CAUL	85.48	124	18	0	13	136	1	124	1.028813e-57	231.49
A0A4P8QFR8_9CAUL	A0A0R3L071_9BRAD	60.74	135	53	0	1	135	1	135	5.480598e-43	182.57
A0A4P8QFR8_9CAUL	A0A4R2KA09_9RHOB	68.97	116	36	0	21	136	3	118	1.220950e-42	181.41
A0A4P8QFR8_9CAUL	V9VTS6_9RHOB	59.70	134	51	1	2	135	3	133	1.220950e-42	181.41
A0A4P8QFR8_9CAUL	A0A0C1GR26_9RHOB	60.74	135	50	1	2	136	3	134	3.552420e-42	179.87
A0A4P8QFR8_9CAUL	A0A0P1H5H5_9RHOB	59.70	134	51	1	2	135	3	133	1.492509e-40	174.48
A0A4P8QFR8_9CAUL	A0A098T6G6_9RHIZ	59.54	131	50	2	8	135	7	137	4.493822e-37	162.93
A0A4P8QFR8_9CAUL	A0A105L2D6_9BURK	61.79	123	44	1	13	135	1	120	3.220490e-35	156.76
A0A2E6RTN2_9PROT	A0A2E6RTN2_9PROT	100.00	166	0	0	1	166	1	166	1.287505e-86	327.79
A0A2E6RTN2_9PROT	A0A2S6UMX3_9PROT	73.94	165	43	0	1	165	1	165	2.000204e-63	250.75
A0A087LAP2_GEOSE	A0A087LAP2_GEOSE	100.00	152	0	0	1	152	1	152	4.193051e-84	319.32
A0A087LAP2_GEOSE	A0A0G3Y106_9BACI	100.00	152	0	0	1	152	1	152	4.193051e-84	319.32
A0A087LAP2_GEOSE	A0A377G5E1_9BACL	100.00	152	0	0	1	152	1	152	4.193051e-84	319.32
A0A087LAP2_GEOSE	A0A164CFY1_9BACI	100.00	152	0	0	1	152	1	152	4.193051e-84	319.32
A0A087LAP2_GEOSE	A0A223DVN7_9BACI	99.34	152	1	0	1	152	7	158	9.341143e-84	318.16
A0A087LAP2_GEOSE	A0A2M9T1U0_9BACI	99.34	152	1	0	1	152	10	161	9.341143e-84	318.16
